chemical,disease,n_proteins_mapped_chemical,n_proteins_mapped_disease,closest,avg_closest_null,std_closest_null,z_closest
coumarin,bacterial infections and mycoses,7,37,2.142857143,1.935714286,0.141096291,1.468095696
coumarin,bronchial diseases,7,54,1.571428571,1.896142857,0.150269893,-2.16087387
coumarin,adnexal diseases,7,28,2,1.827142857,0.189084799,0.914177891
coumarin,lymphoma,7,29,1.857142857,1.870857143,0.165294048,-0.082969023
coumarin,"skin diseases, genetic",7,130,1.857142857,1.779285714,0.160100415,0.486301943
coumarin,lysosomal storage diseases,7,49,2.142857143,1.970428571,0.115895009,1.487799805
coumarin,ectodermal dysplasia,7,20,2.142857143,1.984857143,0.118042192,1.338504452
coumarin,parkinsonian disorders,7,40,2.142857143,1.892142857,0.143354491,1.748911271
coumarin,"hypersensitivity, immediate",7,54,1.571428571,1.892571429,0.152830171,-2.101305355
coumarin,carcinoma,7,57,1.714285714,1.774857143,0.17036719,-0.355534586
coumarin,ataxia,7,35,2,1.937285714,0.125704464,0.498902615
coumarin,psoriasis,7,60,2,1.871714286,0.150617504,0.851731774
coumarin,muscular diseases,7,70,1.857142857,1.872428571,0.138766505,-0.110154207
coumarin,ankylosis,7,14,2,2.021714286,0.117360077,-0.185022762
coumarin,"neoplastic syndromes, hereditary",7,37,1.857142857,1.81,0.174677545,0.269885045
coumarin,spondylarthritis,7,20,2,1.971428571,0.120373568,0.237356332
coumarin,"leukemia, myeloid",7,54,1.714285714,1.746142857,0.179071927,-0.177901379
coumarin,uveitis,7,14,2,2.053142857,0.120171306,-0.442225842
coumarin,dyssomnias,7,21,2.428571429,2.066142857,0.125082095,2.897525581
coumarin,obesity,7,14,2.285714286,2.093,0.125128424,1.540131969
coumarin,stomatognathic diseases,7,44,1.857142857,1.945142857,0.12326709,-0.713896953
coumarin,sensation disorders,7,22,2.142857143,2.093571429,0.126972197,0.388161468
coumarin,amyotrophic lateral sclerosis,7,25,1.857142857,1.877714286,0.154870848,-0.132829573
coumarin,varicose veins,7,28,2.285714286,2.056857143,0.124342844,1.840533283
coumarin,lymphoproliferative disorders,7,115,1.857142857,1.711714286,0.174944656,0.831283303
coumarin,vasculitis,7,17,2,2.046142857,0.111636345,-0.413331852
coumarin,"lupus erythematosus, systemic",7,87,2,1.841428571,0.154649043,1.025363141
coumarin,lipid metabolism disorders,7,55,1.857142857,1.918285714,0.132080371,-0.462921602
coumarin,asthma,7,43,1.571428571,1.912,0.153897925,-2.212969589
coumarin,myeloproliferative disorders,7,19,2,1.954571429,0.1207862,0.376107299
coumarin,"eye diseases, hereditary",7,136,1.857142857,1.849428571,0.147016867,0.052472113
coumarin,coronary artery disease,7,37,2,1.988142857,0.122567016,0.096740079
coumarin,retinal degeneration,7,120,1.857142857,1.896428571,0.128997311,-0.30454677
coumarin,hypothalamic diseases,7,26,2,1.989285714,0.107226158,0.099922313
coumarin,nevi and melanomas,7,17,2.142857143,2.012285714,0.112721799,1.158351172
coumarin,autoimmune diseases,7,288,1.428571429,1.530857143,0.190667142,-0.536462198
coumarin,spinal diseases,7,27,2,1.959285714,0.124685318,0.326536326
coumarin,skin and connective tissue diseases,7,428,1.714285714,1.390428571,0.180911017,1.790146056
coumarin,hyperinsulinism,7,32,1.857142857,2.019857143,0.11620522,-1.400232161
coumarin,gonadal disorders,7,67,2,1.772857143,0.184496004,1.231153262
coumarin,osteochondrodysplasias,7,56,1.571428571,1.914571429,0.128761447,-2.664950305
coumarin,gram-positive bacterial infections,7,29,2.285714286,1.989571429,0.123690776,2.394219406
coumarin,charcot-marie-tooth disease,7,29,2,1.955714286,0.119000943,0.37214591
coumarin,gastrointestinal neoplasms,7,75,1.857142857,1.715285714,0.182105094,0.778985034
coumarin,"neoplasms, nerve tissue",7,54,1.857142857,1.790857143,0.155884835,0.425222341
coumarin,eye diseases,7,272,1.857142857,1.657,0.192629442,1.039004499
coumarin,craniofacial abnormalities,7,43,1.857142857,1.811571429,0.163709486,0.278367672
coumarin,body weight,7,14,2.285714286,2.093,0.125128424,1.540131969
coumarin,dwarfism,7,27,2,2.006857143,0.118983449,-0.057631065
coumarin,osteoporosis,7,18,2,2.083428571,0.126082577,-0.661697858
coumarin,dna repair-deficiency disorders,7,46,1.857142857,1.856285714,0.150506899,0.00569504
coumarin,"diabetes mellitus, type 1",7,94,1.571428571,1.806714286,0.162279112,-1.449882929
coumarin,colorectal neoplasms,7,43,1.857142857,1.796428571,0.173344943,0.350251265
coumarin,diabetes mellitus,7,186,1.428571429,1.720571429,0.172736912,-1.690431978
coumarin,macular degeneration,7,51,2,2.011714286,0.113143939,-0.103534363
coumarin,"cardiomyopathy, hypertrophic, familial",7,22,2.285714286,2.010285714,0.118391947,2.326413062
coumarin,biliary tract diseases,7,48,2.142857143,1.886714286,0.153207276,1.671871363
coumarin,kidney neoplasms,7,23,2,1.97,0.116048899,0.258511716
coumarin,stomatognathic system abnormalities,7,19,2.142857143,2.091285714,0.125249058,0.411751029
coumarin,breast diseases,7,45,2,1.824285714,0.173505278,1.012731643
coumarin,precursor cell lymphoblastic leukemia-lymphoma,7,43,1.857142857,1.927571429,0.12404336,-0.567773814
coumarin,hypotrichosis,7,18,2,2.032142857,0.120405353,-0.266955384
coumarin,female urogenital diseases and pregnancy complications,7,275,1.142857143,1.574285714,0.184147235,-2.342845777
coumarin,neurobehavioral manifestations,7,104,1.714285714,1.771857143,0.162542993,-0.354192005
coumarin,aneurysm,7,17,2,1.979428571,0.121492756,0.169322264
coumarin,"spondylitis, ankylosing",7,14,2,2.021714286,0.117360077,-0.185022762
coumarin,orbital diseases,7,14,2.142857143,2.097714286,0.13187378,0.342318671
coumarin,proteinuria,7,19,1.857142857,2.078142857,0.13231001,-1.670319576
coumarin,demyelinating diseases,7,104,1.571428571,1.733571429,0.17847283,-0.908501631
coumarin,urogenital abnormalities,7,35,2.142857143,1.895857143,0.150072024,1.645876388
coumarin,coronary disease,7,44,2,1.920428571,0.155363366,0.512163392
coumarin,glucose metabolism disorders,7,205,1.428571429,1.702285714,0.184443122,-1.484003754
coumarin,"neoplasms, connective and soft tissue",7,43,1.714285714,1.846714286,0.145663226,-0.9091421
coumarin,thoracic neoplasms,7,23,1.857142857,1.864142857,0.16663531,-0.042007903
coumarin,cranial nerve diseases,7,35,1.857142857,1.987571429,0.124820769,-1.044926834
coumarin,"heart defects, congenital",7,64,2,1.920714286,0.126085086,0.628827061
coumarin,bacterial infections,7,33,2.285714286,1.943142857,0.143540935,2.386576545
coumarin,nutritional and metabolic diseases,7,663,1,1.344571429,0.191995748,-1.7946826
coumarin,"leukemia, b-cell",7,21,2.142857143,1.951285714,0.144753062,1.323436104
coumarin,"skin diseases, papulosquamous",7,60,2,1.871714286,0.150617504,0.851731774
coumarin,gastroenteritis,7,147,1.428571429,1.726428571,0.167562051,-1.777593087
coumarin,pathologic processes,7,69,1.857142857,1.874285714,0.146077977,-0.117354152
coumarin,sarcoma,7,27,1.857142857,1.898142857,0.13707074,-0.299115625
coumarin,hyperthyroidism,7,14,2.142857143,2.097714286,0.13187378,0.342318671
coumarin,mitochondrial diseases,7,54,2,1.944714286,0.12199289,0.453188002
coumarin,peroxisomal disorders,7,20,2.142857143,2.054714286,0.118864612,0.741539941
coumarin,nervous system malformations,7,110,1.714285714,1.743142857,0.174799944,-0.165086683
coumarin,rheumatic diseases,7,65,1.857142857,1.876,0.150683883,-0.125143728
coumarin,cardiomegaly,7,37,2.285714286,1.902142857,0.14397952,2.664069375
coumarin,hemic and lymphatic diseases,7,312,1.285714286,1.469857143,0.177481186,-1.037534519
coumarin,hereditary sensory and motor neuropathy,7,57,1.857142857,1.862142857,0.141116177,-0.035431799
coumarin,basal ganglia diseases,7,55,2,1.839714286,0.163077295,0.982881857
coumarin,spondylitis,7,20,2,1.971428571,0.120373568,0.237356332
coumarin,celiac disease,7,38,2,1.941571429,0.140387147,0.416196017
coumarin,"lung diseases, obstructive",7,46,1.571428571,1.913714286,0.156959893,-2.180720862
coumarin,"metabolism, inborn errors",7,316,1.142857143,1.635714286,0.187654698,-2.626404497
coumarin,"genital neoplasms, female",7,26,2.142857143,1.829571429,0.168047066,1.864273635
coumarin,arthritis,7,85,1.857142857,1.815,0.165367556,0.254843563
coumarin,"bone diseases, metabolic",7,33,2,2.034,0.114049399,-0.298116434
coumarin,neurologic manifestations,7,193,1.714285714,1.662857143,0.181849904,0.2828078
coumarin,"neoplasms, glandular and epithelial",7,94,1.714285714,1.651571429,0.17729711,0.353724241
coumarin,immunologic deficiency syndromes,7,51,1.857142857,1.897142857,0.131211,-0.304852489
coumarin,urologic diseases,7,203,1.142857143,1.698714286,0.178149158,-3.120178335
coumarin,movement disorders,7,63,2,1.809428571,0.170619759,1.116936456
coumarin,respiratory tract neoplasms,7,21,1.857142857,1.863,0.176086655,-0.033262843
coumarin,"bone diseases, developmental",7,103,1.428571429,1.752714286,0.180285431,-1.7979426
coumarin,chromosome disorders,7,34,1.857142857,1.893428571,0.154357391,-0.235075976
coumarin,urination disorders,7,22,1.857142857,2.082857143,0.129331089,-1.745243833
coumarin,malformations of cortical development,7,23,2,1.960142857,0.120471777,0.33084216
coumarin,lymphatic diseases,7,130,1.857142857,1.714571429,0.169993757,0.83868626
coumarin,signs and symptoms,7,133,1.714285714,1.836285714,0.147405037,-0.827651501
coumarin,retinal dystrophies,7,73,1.857142857,1.939714286,0.125999352,-0.655332168
coumarin,neoplasms by histologic type,7,306,1.428571429,1.406285714,0.172831403,0.128944821
coumarin,cerebellar diseases,7,38,2,1.935714286,0.124498996,0.516355283
coumarin,"pathological conditions, anatomical",7,21,2.142857143,2.014142857,0.113136995,1.13768521
coumarin,nephritis,7,24,2.285714286,2.010285714,0.123455024,2.231003351
coumarin,kidney diseases,7,168,1.285714286,1.746714286,0.172701878,-2.669339815
coumarin,"diabetes mellitus, type 2",7,83,1.571428571,1.846571429,0.14945643,-1.840956973
coumarin,pigmentation disorders,7,48,2.142857143,1.869,0.153071345,1.789081702
coumarin,endocrine system diseases,7,333,1.428571429,1.517857143,0.187593514,-0.475953098
coumarin,overnutrition,7,14,2.285714286,2.093,0.125128424,1.540131969
coumarin,"genetic diseases, x-linked",7,119,1.857142857,1.706142857,0.17978167,0.839907649
coumarin,"skin diseases, vascular",7,19,2,2.033714286,0.116084417,-0.29042904
coumarin,musculoskeletal abnormalities,7,67,1.714285714,1.756,0.165784222,-0.251617948
coumarin,gastrointestinal diseases,7,262,1.285714286,1.515142857,0.179156983,-1.280600777
coumarin,cholestasis,7,35,2.142857143,1.937285714,0.133116414,1.544298129
coumarin,"arrhythmias, cardiac",7,31,2.142857143,2.028857143,0.120813231,0.94360526
coumarin,congenital abnormalities,7,429,1.285714286,1.408142857,0.175694017,-0.696828345
coumarin,glomerulonephritis,7,20,2.285714286,2.069,0.124188057,1.745049332
coumarin,"metal metabolism, inborn errors",7,21,2,2.104571429,0.135840242,-0.769811853
coumarin,digestive system diseases,7,368,1.285714286,1.460714286,0.185844734,-0.941646265
coumarin,bile duct diseases,7,38,2.142857143,1.918285714,0.148929239,1.507906905
coumarin,congenital disorders of glycosylation,7,25,2.142857143,2.073857143,0.122866362,0.561585767
coumarin,"brain diseases, metabolic",7,103,2,1.845,0.155824011,0.994711912
coumarin,urologic neoplasms,7,37,1.857142857,1.859285714,0.160406054,-0.013358954
coumarin,ovarian neoplasms,7,17,2.142857143,1.910285714,0.132912124,1.7498135
coumarin,blood protein disorders,7,22,2.142857143,2.004857143,0.120275534,1.147365515
coumarin,neurodegenerative diseases,7,259,1.428571429,1.509857143,0.190018205,-0.42777856
coumarin,"genetic diseases, inborn",7,960,1.142857143,1.196,0.190253107,-0.279327144
coumarin,vision disorders,7,22,2.142857143,2.111714286,0.128767787,0.241852858
coumarin,collagen diseases,7,26,2.142857143,1.976142857,0.120974867,1.378090262
coumarin,otorhinolaryngologic diseases,7,45,2.142857143,1.978714286,0.123288197,1.331375271
coumarin,glioma,7,19,2.285714286,1.960857143,0.125105996,2.596655265
coumarin,digestive system neoplasms,7,98,1.714285714,1.684714286,0.188341364,0.15700974
coumarin,myocardial infarction,7,16,2.285714286,2.079428571,0.124118442,1.662006953
coumarin,"cholestasis, intrahepatic",7,35,2.142857143,1.937285714,0.133116414,1.544298129
coumarin,mouth diseases,7,27,2,1.994285714,0.119557005,0.04779549
coumarin,panuveitis,7,14,2,2.053142857,0.120171306,-0.442225842
coumarin,neuroectodermal tumors,7,52,2,1.816142857,0.153505368,1.197724519
coumarin,"demyelinating autoimmune diseases, cns",7,85,1.714285714,1.787857143,0.17483374,-0.420807954
coumarin,cardiovascular diseases,7,384,1.714285714,1.499714286,0.19293628,1.112136237
coumarin,dysostoses,7,22,1.857142857,1.951714286,0.121366034,-0.779224839
coumarin,"lipid metabolism, inborn errors",7,50,1.857142857,1.934857143,0.123723193,-0.628130293
coumarin,"mental retardation, x-linked",7,70,1.857142857,1.826285714,0.155007834,0.19906828
coumarin,crohn disease,7,88,1.571428571,1.81,0.163451297,-1.459587246
coumarin,hemorrhagic disorders,7,59,2,1.921428571,0.131513947,0.597437991
coumarin,immunoproliferative disorders,7,108,1.857142857,1.738285714,0.166829743,0.712445757
coumarin,central nervous system diseases,7,396,1.428571429,1.443857143,0.183922732,-0.083109435
coumarin,"amino acid metabolism, inborn errors",7,56,2,1.961714286,0.121737087,0.314495075
coumarin,goiter,7,20,2.142857143,2.050857143,0.132114978,0.696363134
coumarin,hypopigmentation,7,26,2.142857143,2.016285714,0.113299675,1.117138498
coumarin,polyneuropathies,7,66,1.571428571,1.822428571,0.155573396,-1.613386389
coumarin,peripheral nervous system diseases,7,73,1.428571429,1.789714286,0.176659248,-2.0442907
coumarin,"blood coagulation disorders, inherited",7,36,2,1.994285714,0.116443908,0.04907329
coumarin,"brain diseases, metabolic, inborn",7,102,2,1.869857143,0.140049481,0.929263402
coumarin,endocrine gland neoplasms,7,53,2,1.752142857,0.193188868,1.282978389
coumarin,"heredodegenerative disorders, nervous system",7,219,1.428571429,1.567857143,0.183190266,-0.7603336
coumarin,"genital diseases, female",7,38,2,1.791,0.166882031,1.25238169
coumarin,malabsorption syndromes,7,38,2,1.941571429,0.140387147,0.416196017
coumarin,"neoplasms, neuroepithelial",7,28,2.142857143,1.885571429,0.147731071,1.741581593
(-)-epicatechin 3-o-gallate,liver diseases,7,81,1.428571429,1.602,0.154140408,-1.125133727
(-)-epicatechin 3-o-gallate,lung diseases,7,83,1.428571429,1.535857143,0.159399319,-0.673062564
(-)-epicatechin 3-o-gallate,overweight,7,14,2.142857143,1.995714286,0.13409561,1.097298092
(-)-epicatechin 3-o-gallate,bone marrow diseases,7,60,1.571428571,1.543571429,0.145474242,0.191491926
(-)-epicatechin 3-o-gallate,tauopathies,7,38,1.714285714,1.695571429,0.16136149,0.115977397
(-)-epicatechin 3-o-gallate,intellectual disability,7,99,1.714285714,1.543142857,0.149884037,1.14183512
(-)-epicatechin 3-o-gallate,spondylarthropathies,7,20,2,1.794857143,0.147489467,1.390898356
(-)-epicatechin 3-o-gallate,anemia,7,60,1.714285714,1.674285714,0.145237315,0.275411316
(-)-epicatechin 3-o-gallate,"carcinoma, renal cell",7,19,1.714285714,1.809,0.15114738,-0.626635311
(-)-epicatechin 3-o-gallate,"cardiomyopathy, dilated",7,32,1.714285714,1.717571429,0.160132025,-0.020518783
(-)-epicatechin 3-o-gallate,inflammatory bowel diseases,7,144,1.428571429,1.500857143,0.152393422,-0.474336184
(-)-epicatechin 3-o-gallate,prostatic diseases,7,68,1.571428571,1.633,0.151942457,-0.405228597
(-)-epicatechin 3-o-gallate,vascular diseases,7,213,1.428571429,1.434428571,0.148689445,-0.039391786
(-)-epicatechin 3-o-gallate,hypersensitivity,7,54,1.714285714,1.703428571,0.161006021,0.067433148
(-)-epicatechin 3-o-gallate,metabolic diseases,7,649,1.285714286,1.229857143,0.157020667,0.355731153
(-)-epicatechin 3-o-gallate,sleep disorders,7,21,2.142857143,1.965428571,0.128526659,1.380480695
(-)-epicatechin 3-o-gallate,"abnormalities, multiple",7,141,1.428571429,1.461714286,0.14778473,-0.224264422
(-)-epicatechin 3-o-gallate,"leukemia, myeloid, acute",7,43,1.714285714,1.601714286,0.159274888,0.706774497
(-)-epicatechin 3-o-gallate,alzheimer disease,7,32,1.714285714,1.756571429,0.153089543,-0.276215563
(-)-epicatechin 3-o-gallate,"liver cirrhosis, biliary",7,28,1.714285714,1.774285714,0.158281588,-0.379071253
(-)-epicatechin 3-o-gallate,"death, sudden",7,23,1.857142857,1.842,0.169076966,0.089561917
(-)-epicatechin 3-o-gallate,cerebrovascular disorders,7,52,1.714285714,1.727857143,0.151857546,-0.089369471
(-)-epicatechin 3-o-gallate,"genital diseases, male",7,94,1.571428571,1.611857143,0.151920428,-0.266116756
(-)-epicatechin 3-o-gallate,uveal diseases,7,19,1.857142857,1.883428571,0.136885473,-0.192027056
(-)-epicatechin 3-o-gallate,cerebellar ataxia,7,35,1.714285714,1.753,0.142539576,-0.271603767
