,chemical,DirectEvidence,disease,pubchem_compound_id
26847,apigenin,therapeutic,"Neoplasms, Experimental",5280443.0
27020,apigenin,therapeutic,Pancreatic Neoplasms,5280443.0
27107,apigenin,therapeutic,Poisoning,5280443.0
27163,apigenin,therapeutic,Prostatic Neoplasms,5280443.0
27435,apigenin,therapeutic,Skin Neoplasms,5280443.0
27774,baicalein,therapeutic,Amnesia,5281605.0
28378,baicalein,therapeutic,Drug-Induced Liver Injury,5281605.0
28463,baicalein,therapeutic,Fibrosis,5281605.0
28487,baicalein,therapeutic,Glioblastoma,5281605.0
28590,baicalein,therapeutic,Hyperalgesia,5281605.0
28887,baicalein,therapeutic,Lung Neoplasms,5281605.0
29090,baicalein,therapeutic,Neoplasm Invasiveness,5281605.0
29127,baicalein,therapeutic,Neoplasms,5281605.0
29564,baicalein,therapeutic,Stomach Ulcer,5281605.0
29812,chrysin,therapeutic,Anaphylaxis,5281607.0
30290,chrysin,therapeutic,Colonic Neoplasms,5281607.0
30552,chrysin,therapeutic,Edema,5281607.0
30815,chrysin,therapeutic,Hypercholesterolemia,5281607.0
30830,chrysin,therapeutic,Hyperinsulinism,5281607.0
30941,chrysin,therapeutic,Inflammation,5281607.0
31031,chrysin,therapeutic,Kidney Neoplasms,5281607.0
31097,chrysin,therapeutic,Liver Cirrhosis,5281607.0
31194,chrysin,therapeutic,Lung Neoplasms,5281607.0
31690,chrysin,therapeutic,Precancerous Conditions,5281607.0
32213,diosmin,therapeutic,"Carcinoma, Hepatocellular",5281613.0
32300,diosmin,therapeutic,"Diabetes Mellitus, Experimental",5281613.0
32311,diosmin,therapeutic,"Diabetes Mellitus, Type 2",5281613.0
32328,diosmin,therapeutic,Drug-Induced Liver Injury,5281613.0
32917,hispidulin,therapeutic,Edema,5281628.0
33313,luteolin,therapeutic,"Arthritis, Experimental",5280445.0
33717,luteolin,therapeutic,Cardiomyopathies,5280445.0
33745,luteolin,therapeutic,Cataract,5280445.0
33747,luteolin,therapeutic,"Cell Transformation, Neoplastic",5280445.0
34250,luteolin,therapeutic,Flushing,5280445.0
34414,luteolin,therapeutic,Hepatomegaly,5280445.0
34612,luteolin,therapeutic,Inflammation,5280445.0
34691,luteolin,therapeutic,Kidney Diseases,5280445.0
34794,luteolin,therapeutic,Liver Cirrhosis,5280445.0
35368,luteolin,therapeutic,Ovarian Neoplasms,5280445.0
36563,luteolin 6-c-glucoside,therapeutic,"Liver Cirrhosis, Alcoholic",114776.0
37359,nobiletin,therapeutic,Colonic Neoplasms,72344.0
37492,nobiletin,therapeutic,Precancerous Conditions,72344.0
37644,scutellarein,therapeutic,Ventricular Remodeling,5281697.0
37841,tangeretin,therapeutic,Breast Neoplasms,68077.0
37982,tangeretin,therapeutic,"Diabetes Mellitus, Experimental",68077.0
38021,tangeretin,therapeutic,Drug-Induced Liver Injury,68077.0
38030,tangeretin,therapeutic,Drug-Related Side Effects and Adverse Reactions,68077.0
38226,tangeretin,therapeutic,Kidney Diseases,68077.0
38237,tangeretin,therapeutic,Kidney Neoplasms,68077.0
38717,galangin,therapeutic,Anaphylaxis,5281616.0
38954,galangin,therapeutic,"Carcinoma, squamous cell of head and neck",5281616.0
39287,galangin,therapeutic,Hearing Loss,5281616.0
39359,galangin,therapeutic,Hyperglycemia,5281616.0
39363,galangin,therapeutic,Hyperinsulinism,5281616.0
39374,galangin,therapeutic,Hypersensitivity,5281616.0
39399,galangin,therapeutic,Hypertriglyceridemia,5281616.0
39430,galangin,therapeutic,Inflammation,5281616.0
39449,galangin,therapeutic,Insulin Resistance,5281616.0
39778,galangin,therapeutic,"Neoplasms, Experimental",5281616.0
41311,isorhamnetin,therapeutic,Drug-Induced Liver Injury,5281654.0
41981,isorhamnetin,therapeutic,Inflammation,5281654.0
42189,isorhamnetin,therapeutic,Liver Cirrhosis,5281654.0
43849,kaempferol,therapeutic,Atherosclerosis,5280863.0
43969,kaempferol,therapeutic,Breast Neoplasms,5280863.0
44187,kaempferol,therapeutic,Cardiomyopathies,5280863.0
44205,kaempferol,therapeutic,Cardiovascular Diseases,5280863.0
44226,kaempferol,therapeutic,"Cell Transformation, Neoplastic",5280863.0
44966,kaempferol,therapeutic,Hyperglycemia,5280863.0
45895,kaempferol,therapeutic,Osteoporosis,5280863.0
46565,kaempferol 3-o-galactoside,therapeutic,Edema,5488283.0
46749,kaempferol 3-o-glucoside,therapeutic,"Dermatitis, Atopic",5282102.0
47514,morin,therapeutic,"Carcinoma, Hepatocellular",5281670.0
47808,morin,therapeutic,Drug-Induced Liver Injury,5281670.0
47840,morin,therapeutic,Edema,5281670.0
48152,morin,therapeutic,Insulin Resistance,5281670.0
48173,morin,therapeutic,Ischemia,5281670.0
48190,morin,therapeutic,Kidney Diseases,5281670.0
48271,morin,therapeutic,"Liver Cirrhosis, Experimental",5281670.0
48307,morin,therapeutic,"Liver Neoplasms, Experimental",5281670.0
48530,morin,therapeutic,"Neoplasms, Experimental",5281670.0
49000,morin,therapeutic,Weight Loss,5281670.0
49413,myricetin,therapeutic,"Cell Transformation, Neoplastic",5281672.0
49775,myricetin,therapeutic,Glioblastoma,5281672.0
50315,myricetin,therapeutic,Myocardial Infarction,5281672.0
50345,myricetin,therapeutic,Necrosis,5281672.0
50410,myricetin,therapeutic,Nephritis,5281672.0
51019,myricetin 3-o-rhamnoside,therapeutic,Atherosclerosis,5281673.0
51291,myricetin 3-o-rhamnoside,therapeutic,Drug-Induced Liver Injury,5281673.0
51412,myricetin 3-o-rhamnoside,therapeutic,Hepatomegaly,5281673.0
52067,myricetin 3-o-rhamnoside,therapeutic,Weight Loss,5281673.0
52206,quercetin,therapeutic,Acute Kidney Injury,5280343.0
52251,quercetin,therapeutic,Acute Lung Injury,5280343.0
52427,quercetin,therapeutic,Adenomatous Polyposis Coli,5280343.0
52489,quercetin,therapeutic,Airway Obstruction,5280343.0
52725,quercetin,therapeutic,"Anemia, Hemolytic",5280343.0
52755,quercetin,therapeutic,Aneurysm,5280343.0
52824,quercetin,therapeutic,Anxiety Disorders,5280343.0
52844,quercetin,therapeutic,"Aortic Aneurysm, Abdominal",5280343.0
52929,quercetin,therapeutic,Arterial Occlusive Diseases,5280343.0
53132,quercetin,therapeutic,Ascites,5280343.0
53142,quercetin,therapeutic,Asthenozoospermia,5280343.0
53218,quercetin,therapeutic,Ataxia Telangiectasia,5280343.0
53226,quercetin,therapeutic,Atherosclerosis,5280343.0
53406,quercetin,therapeutic,Autoimmune Diseases,5280343.0
53520,quercetin,therapeutic,Birth Weight,5280343.0
53626,quercetin,therapeutic,Brain Injuries,5280343.0
53739,quercetin,therapeutic,Breast Neoplasms,5280343.0
54026,quercetin,therapeutic,Cachexia,5280343.0
54035,quercetin,therapeutic,Cadmium Poisoning,5280343.0
54228,quercetin,therapeutic,"Carcinoma, Hepatocellular",5280343.0
54460,quercetin,therapeutic,"Carcinoma, Pancreatic Ductal",5280343.0
54538,quercetin,therapeutic,"Carcinoma, Squamous Cell",5280343.0
54656,quercetin,therapeutic,Carcinosarcoma,5280343.0
54667,quercetin,therapeutic,Cardiomegaly,5280343.0
54716,quercetin,therapeutic,Cardiomyopathies,5280343.0
54802,quercetin,therapeutic,"Cardiomyopathy, Hypertrophic",5280343.0
54821,quercetin,therapeutic,Cardiotoxicity,5280343.0
54872,quercetin,therapeutic,Cartilage Diseases,5280343.0
54875,quercetin,therapeutic,Catalepsy,5280343.0
54910,quercetin,therapeutic,"Cell Transformation, Neoplastic",5280343.0
55193,quercetin,therapeutic,Chromosome Aberrations,5280343.0
55205,quercetin,therapeutic,Chromosome Breakage,5280343.0
55300,quercetin,therapeutic,Cognition Disorders,5280343.0
55372,quercetin,therapeutic,Colonic Neoplasms,5280343.0
55468,quercetin,therapeutic,Colorectal Neoplasms,5280343.0
55833,quercetin,therapeutic,Cystitis,5280343.0
56076,quercetin,therapeutic,"Diabetes Mellitus, Experimental",5280343.0
56329,quercetin,therapeutic,Diarrhea,5280343.0
56337,quercetin,therapeutic,"Disease Models, Animal",5280343.0
56490,quercetin,therapeutic,Drug-Induced Liver Injury,5280343.0
56619,quercetin,therapeutic,Drug-Related Side Effects and Adverse Reactions,5280343.0
56675,quercetin,therapeutic,"Dyskinesia, Drug-Induced",5280343.0
56685,quercetin,therapeutic,Dyslipidemias,5280343.0
56719,quercetin,therapeutic,Edema,5280343.0
56873,quercetin,therapeutic,Endotoxemia,5280343.0
56965,quercetin,therapeutic,Erectile Dysfunction,5280343.0
57082,quercetin,therapeutic,"Esophagitis, Peptic",5280343.0
57140,quercetin,therapeutic,Fatty Liver,5280343.0
57248,quercetin,therapeutic,Fibrosis,5280343.0
57281,quercetin,therapeutic,Flushing,5280343.0
57395,quercetin,therapeutic,Glioblastoma,5280343.0
57435,quercetin,therapeutic,Glioma,5280343.0
57479,quercetin,therapeutic,Gliosis,5280343.0
57544,quercetin,therapeutic,Glucose Intolerance,5280343.0
57865,quercetin,therapeutic,Hemolysis,5280343.0
57880,quercetin,therapeutic,Hemorrhage,5280343.0
57986,quercetin,therapeutic,Hepatomegaly,5280343.0
58149,quercetin,therapeutic,Hyperalgesia,5280343.0
58218,quercetin,therapeutic,Hypercholesterolemia,5280343.0
58252,quercetin,therapeutic,Hyperglycemia,5280343.0
58284,quercetin,therapeutic,Hyperinsulinism,5280343.0
58311,quercetin,therapeutic,Hyperlipidemias,5280343.0
58368,quercetin,therapeutic,Hyperplasia,5280343.0
58432,quercetin,therapeutic,Hypertension,5280343.0
58558,quercetin,therapeutic,"Hypertension, Pulmonary",5280343.0
58593,quercetin,therapeutic,Hypertriglyceridemia,5280343.0
58602,quercetin,therapeutic,Hypertrophy,5280343.0
58615,quercetin,therapeutic,"Hypertrophy, Left Ventricular",5280343.0
58637,quercetin,therapeutic,"Hypertrophy, Right Ventricular",5280343.0
58639,quercetin,therapeutic,Hyperuricemia,5280343.0
58773,quercetin,therapeutic,Infarction,5280343.0
58847,quercetin,therapeutic,Inflammation,5280343.0
58936,quercetin,therapeutic,"Influenza, Human",5280343.0
58965,quercetin,therapeutic,Insulin Resistance,5280343.0
59104,quercetin,therapeutic,"Ischemic Attack, Transient",5280343.0
59131,quercetin,therapeutic,Keloid,5280343.0
59173,quercetin,therapeutic,Kidney Diseases,5280343.0
59290,quercetin,therapeutic,"Kidney Tubular Necrosis, Acute",5280343.0
59314,quercetin,therapeutic,"Lead Poisoning, Nervous System",5280343.0
59315,quercetin,therapeutic,Learning Disorders,5280343.0
59379,quercetin,therapeutic,Lethargy,5280343.0
59454,quercetin,therapeutic,"Leukemia, Myeloid",5280343.0
59627,quercetin,therapeutic,Liver Cirrhosis,5280343.0
59722,quercetin,therapeutic,"Liver Cirrhosis, Experimental",5280343.0
60066,quercetin,therapeutic,Liver Diseases,5280343.0
60127,quercetin,therapeutic,Liver Neoplasms,5280343.0
60199,quercetin,therapeutic,"Liver Neoplasms, Experimental",5280343.0
60307,quercetin,therapeutic,Lung Neoplasms,5280343.0
60543,quercetin,therapeutic,"Lymphoma, T-Cell",5280343.0
60689,quercetin,therapeutic,"Mammary Neoplasms, Experimental",5280343.0
60940,quercetin,therapeutic,Memory Disorders,5280343.0
61080,quercetin,therapeutic,Metabolic Syndrome X,5280343.0
61175,quercetin,therapeutic,Mitochondrial Diseases,5280343.0
61212,quercetin,therapeutic,Mouth Neoplasms,5280343.0
61379,quercetin,therapeutic,Myalgia,5280343.0
61413,quercetin,therapeutic,Myocardial Infarction,5280343.0
61579,quercetin,therapeutic,Myocardial Reperfusion Injury,5280343.0
61680,quercetin,therapeutic,Necrosis,5280343.0
61728,quercetin,therapeutic,Neoplasm Invasiveness,5280343.0
61821,quercetin,therapeutic,Neoplasm Metastasis,5280343.0
61950,quercetin,therapeutic,Neoplasms,5280343.0
61991,quercetin,therapeutic,"Neoplasms, Experimental",5280343.0
62092,quercetin,therapeutic,Nerve Degeneration,5280343.0
62179,quercetin,therapeutic,Neural Tube Defects,5280343.0
62220,quercetin,therapeutic,Neurodegenerative Diseases,5280343.0
62270,quercetin,therapeutic,Neurogenic Inflammation,5280343.0
62321,quercetin,therapeutic,Non-alcoholic Fatty Liver Disease,5280343.0
62372,quercetin,therapeutic,Obesity,5280343.0
62485,quercetin,therapeutic,Oligospermia,5280343.0
62640,quercetin,therapeutic,"Osteoporosis, Postmenopausal",5280343.0
62682,quercetin,therapeutic,Ovarian Neoplasms,5280343.0
62738,quercetin,therapeutic,Pain,5280343.0
62826,quercetin,therapeutic,Pancreatitis,5280343.0
63082,quercetin,therapeutic,"Plaque, Atherosclerotic",5280343.0
63150,quercetin,therapeutic,Poisoning,5280343.0
63246,quercetin,therapeutic,Polyuria,5280343.0
63261,quercetin,therapeutic,Precancerous Conditions,5280343.0
63426,quercetin,therapeutic,Prostatic Neoplasms,5280343.0
63676,quercetin,therapeutic,Proteinuria,5280343.0
63772,quercetin,therapeutic,"Pulmonary Disease, Chronic Obstructive",5280343.0
63792,quercetin,therapeutic,Pulmonary Edema,5280343.0
63925,quercetin,therapeutic,Reperfusion Injury,5280343.0
64027,quercetin,therapeutic,Respiratory Hypersensitivity,5280343.0
64191,quercetin,therapeutic,Schistosomiasis japonica,5280343.0
64421,quercetin,therapeutic,Skin Neoplasms,5280343.0
64484,quercetin,therapeutic,Sneezing,5280343.0
64608,quercetin,therapeutic,Stomach Diseases,5280343.0
64610,quercetin,therapeutic,Stomach Neoplasms,5280343.0
64750,quercetin,therapeutic,Stomach Ulcer,5280343.0
64889,quercetin,therapeutic,Teratoma,5280343.0
64891,quercetin,therapeutic,Testicular Diseases,5280343.0
65140,quercetin,therapeutic,Urinary Bladder Neoplasms,5280343.0
65264,quercetin,therapeutic,Vascular Calcification,5280343.0
65314,quercetin,therapeutic,"Ventricular Dysfunction, Left",5280343.0
65376,quercetin,therapeutic,Weight Gain,5280343.0
65426,quercetin,therapeutic,Weight Loss,5280343.0
65681,quercetin 3-o-galactoside,therapeutic,Drug-Induced Liver Injury,5281643.0
65917,quercetin 3-o-galactoside,therapeutic,Necrosis,5281643.0
66541,quercetin 3-o-glucoside,therapeutic,"Cell Transformation, Neoplastic",5280804.0
71110,quercetin 3-o-rhamnoside,therapeutic,Pain,5359430.0
72034,quercetin 3-o-rutinoside,therapeutic,Acute Lung Injury,5280805.0
72102,quercetin 3-o-rutinoside,therapeutic,Agranulocytosis,5280805.0
72484,quercetin 3-o-rutinoside,therapeutic,Bacterial Infections,5280805.0
72778,quercetin 3-o-rutinoside,therapeutic,"Carcinoma, Ehrlich Tumor",5280805.0
72928,quercetin 3-o-rutinoside,therapeutic,Cardiomegaly,5280805.0
73138,quercetin 3-o-rutinoside,therapeutic,Colitis,5280805.0
73612,quercetin 3-o-rutinoside,therapeutic,Drug-Induced Liver Injury,5280805.0
73680,quercetin 3-o-rutinoside,therapeutic,"Dyskinesia, Drug-Induced",5280805.0
73686,quercetin 3-o-rutinoside,therapeutic,Dyslipidemias,5280805.0
73814,quercetin 3-o-rutinoside,therapeutic,Fanconi Anemia,5280805.0
73818,quercetin 3-o-rutinoside,therapeutic,Fatty Liver,5280805.0
74140,quercetin 3-o-rutinoside,therapeutic,Hemolysis,5280805.0
74258,quercetin 3-o-rutinoside,therapeutic,Hyperalgesia,5280805.0
74338,quercetin 3-o-rutinoside,therapeutic,Hyperinsulinism,5280805.0
74536,quercetin 3-o-rutinoside,therapeutic,Hyperuricemia,5280805.0
74692,quercetin 3-o-rutinoside,therapeutic,Inflammatory Bowel Diseases,5280805.0
74706,quercetin 3-o-rutinoside,therapeutic,Insulin Resistance,5280805.0
74784,quercetin 3-o-rutinoside,therapeutic,Kidney Diseases,5280805.0
74904,quercetin 3-o-rutinoside,therapeutic,Leukemia,5280805.0
75304,quercetin 3-o-rutinoside,therapeutic,Melanoma,5280805.0
75400,quercetin 3-o-rutinoside,therapeutic,Mitochondrial Diseases,5280805.0
75432,quercetin 3-o-rutinoside,therapeutic,Multiple Myeloma,5280805.0
75586,quercetin 3-o-rutinoside,therapeutic,Necrosis,5280805.0
76034,quercetin 3-o-rutinoside,therapeutic,Paralysis,5280805.0
76380,quercetin 3-o-rutinoside,therapeutic,Pulmonary Edema,5280805.0
76782,quercetin 3-o-rutinoside,therapeutic,Stomach Ulcer,5280805.0
77012,quercetin 3-o-rutinoside,therapeutic,"Ventricular Dysfunction, Left",5280805.0
78598,biochanin a,therapeutic,Glioblastoma,5280373.0
80011,biochanin a,therapeutic,Prostatic Neoplasms,5280373.0
80624,daidzein,therapeutic,Adenocarcinoma,5281708.0
80784,daidzein,therapeutic,Amnesia,5281708.0
81682,daidzein,therapeutic,Cardiovascular Diseases,5281708.0
82188,daidzein,therapeutic,"Diabetes Mellitus, Type 2",5281708.0
82382,daidzein,therapeutic,Edema,5281708.0
82406,daidzein,therapeutic,Endometrial Neoplasms,5281708.0
83002,daidzein,therapeutic,Hyperplasia,5281708.0
83028,daidzein,therapeutic,Hypertension,5281708.0
83500,daidzein,therapeutic,Leukemic Infiltration,5281708.0
83916,daidzein,therapeutic,Memory Disorders,5281708.0
85590,daidzein,therapeutic,Ventricular Fibrillation,5281708.0
85816,daidzin,therapeutic,Memory Disorders,107971.0
85852,daidzin,therapeutic,Prostatic Neoplasms,107971.0
89315,formononetin,therapeutic,Uterine Cervical Neoplasms,5280378.0
90067,genistein,therapeutic,Adenocarcinoma,5280961.0
90367,genistein,therapeutic,Adenocarcinoma of lung,5280961.0
92731,genistein,therapeutic,Asphyxia,5280961.0
94603,genistein,therapeutic,Breast Neoplasms,5280961.0
96283,genistein,therapeutic,"Carcinoma, Hepatocellular",5280961.0
98063,genistein,therapeutic,Cardiotoxicity,5280961.0
98083,genistein,therapeutic,Cardiovascular Diseases,5280961.0
99483,genistein,therapeutic,Cognition Disorders,5280961.0
99695,genistein,therapeutic,Colonic Neoplasms,5280961.0
100383,genistein,therapeutic,Congenital Abnormalities,5280961.0
102191,genistein,therapeutic,"Diabetes Mellitus, Type 2",5280961.0
103099,genistein,therapeutic,Drug-Induced Liver Injury,5280961.0
103451,genistein,therapeutic,Drug-Related Side Effects and Adverse Reactions,5280961.0
103775,genistein,therapeutic,Edema,5280961.0
103975,genistein,therapeutic,Endometrial Hyperplasia,5280961.0
103995,genistein,therapeutic,Endometrial Neoplasms,5280961.0
106063,genistein,therapeutic,Glioblastoma,5280961.0
107943,genistein,therapeutic,Hepatomegaly,5280961.0
108787,genistein,therapeutic,Hyperglycemia,5280961.0
109139,genistein,therapeutic,Hyperplasia,5280961.0
110723,genistein,therapeutic,Inflammation,5280961.0
112359,genistein,therapeutic,Leiomyoma,5280961.0
112535,genistein,therapeutic,Leukemia,5280961.0
113051,genistein,therapeutic,"Leukemia, Promyelocytic, Acute",5280961.0
113115,genistein,therapeutic,Leukemic Infiltration,5280961.0
113387,genistein,therapeutic,Liver Cirrhosis,5280961.0
113591,genistein,therapeutic,"Liver Cirrhosis, Alcoholic",5280961.0
113691,genistein,therapeutic,"Liver Cirrhosis, Experimental",5280961.0
114791,genistein,therapeutic,Liver Failure,5280961.0
115387,genistein,therapeutic,Lung Neoplasms,5280961.0
116583,genistein,therapeutic,"Mammary Neoplasms, Experimental",5280961.0
117395,genistein,therapeutic,Memory Disorders,5280961.0
118867,genistein,therapeutic,Myocardial Infarction,5280961.0
119403,genistein,therapeutic,Myocardial Reperfusion Injury,5280961.0
119747,genistein,therapeutic,Necrosis,5280961.0
120583,genistein,therapeutic,Neoplasms,5280961.0
120731,genistein,therapeutic,"Neoplasms, Experimental",5280961.0
122675,genistein,therapeutic,Osteoporosis,5280961.0
122807,genistein,therapeutic,"Osteoporosis, Postmenopausal",5280961.0
122963,genistein,therapeutic,Ovarian Neoplasms,5280961.0
125111,genistein,therapeutic,Prenatal Exposure Delayed Effects,5280961.0
125243,genistein,therapeutic,Prostatic Hyperplasia,5280961.0
125303,genistein,therapeutic,Prostatic Neoplasms,5280961.0
126119,genistein,therapeutic,Prostatitis,5280961.0
131239,genistein,therapeutic,Uterine Neoplasms,5280961.0
131631,genistein,therapeutic,Weight Gain,5280961.0
132451,genistin,therapeutic,Prostatic Neoplasms,5281377.0
132659,glycitein,therapeutic,Astrocytoma,5317750.0
133457,glycitein,therapeutic,Neoplasm Invasiveness,5317750.0
133517,glycitein,therapeutic,Neurodegenerative Diseases,5317750.0
133563,glycitein,therapeutic,Paralysis,5317750.0
134239,sesamol,therapeutic,Drug-Induced Liver Injury,68289.0
134283,sesamol,therapeutic,Fatty Liver,68289.0
134443,sesamol,therapeutic,Inflammation,68289.0
134511,sesamol,therapeutic,"Liver Cirrhosis, Experimental",68289.0
134603,sesamol,therapeutic,Myocardial Infarction,68289.0
136986,4-methylcatechol,therapeutic,Diabetic Neuropathies,9958.0
137781,4-methylcatechol,therapeutic,Peripheral Nervous System Diseases,9958.0
138243,bergapten,therapeutic,Psoriasis,2355.0
138485,psoralen,therapeutic,Amnesia,6199.0
138660,psoralen,therapeutic,Psoriasis,6199.0
138687,psoralen,therapeutic,Weight Gain,6199.0
138959,xanthotoxin,therapeutic,Drug-Induced Liver Injury,4114.0
138979,xanthotoxin,therapeutic,Eczema,4114.0
139104,xanthotoxin,therapeutic,Kidney Diseases,4114.0
139164,xanthotoxin,therapeutic,Lung Neoplasms,4114.0
139181,xanthotoxin,therapeutic,"Lymphoma, T-Cell, Cutaneous",4114.0
139225,xanthotoxin,therapeutic,Mycosis Fungoides,4114.0
139374,xanthotoxin,therapeutic,Psoriasis,4114.0
139459,xanthotoxin,therapeutic,Tinea Capitis,4114.0
139485,xanthotoxin,therapeutic,Vestibular Diseases,4114.0
139487,xanthotoxin,therapeutic,Vitiligo,4114.0
