chemical,pubchem_compound_id,entrez_id,symbol
apigenin,5280443.0,1543.0,CYP1A1
apigenin,5280443.0,4363.0,ABCC1
apigenin,5280443.0,3292.0,HSD17B1
baicalein,5281605.0,239.0,ALOX12
baicalein,5281605.0,1545.0,
baicalein,5281605.0,246.0,ALOX15
baicalein,5281605.0,59344.0,ALOXE3
baicalein,5281605.0,242.0,ALOX12B
baicalein,5281605.0,240.0,ALOX5
baicalein,5281605.0,7498.0,XDH
baicalein,5281605.0,1543.0,CYP1A1
baicalein,5281605.0,247.0,ALOX15B
baicalein,5281605.0,390245.0,KDM4E
baicalein,5281605.0,239.0,ALOX12
baicalein,5281605.0,1545.0,
baicalein,5281605.0,246.0,ALOX15
baicalein,5281605.0,59344.0,ALOXE3
baicalein,5281605.0,242.0,ALOX12B
baicalein,5281605.0,240.0,ALOX5
baicalein,5281605.0,7498.0,XDH
baicalein,5281605.0,1543.0,CYP1A1
baicalein,5281605.0,247.0,ALOX15B
baicalein,5281605.0,390245.0,KDM4E
chrysin,5281607.0,5837.0,PYGM
chrysin,5281607.0,5836.0,PYGL
chrysin,5281607.0,5834.0,PYGB
chrysin,5281607.0,9429.0,ABCG2
chrysin,5281607.0,1588.0,
chrysin,5281607.0,1545.0,
chrysin,5281607.0,1021.0,CDK6
chrysin,5281607.0,231.0,AKR1B1
chrysin,5281607.0,873.0,CBR1
chrysin,5281607.0,1544.0,CYP1A2
chrysin,5281607.0,7498.0,XDH
chrysin,5281607.0,1543.0,CYP1A1
chrysin,5281607.0,5837.0,PYGM
chrysin,5281607.0,5836.0,PYGL
chrysin,5281607.0,5834.0,PYGB
chrysin,5281607.0,9429.0,ABCG2
chrysin,5281607.0,1588.0,
chrysin,5281607.0,1545.0,
chrysin,5281607.0,1021.0,CDK6
chrysin,5281607.0,231.0,AKR1B1
chrysin,5281607.0,873.0,CBR1
chrysin,5281607.0,1544.0,CYP1A2
chrysin,5281607.0,7498.0,XDH
chrysin,5281607.0,1543.0,CYP1A1
luteolin,5280445.0,1457.0,CSNK2A1
luteolin,5280445.0,6530.0,SLC6A2
luteolin,5280445.0,7276.0,TTR
luteolin,5280445.0,9429.0,ABCG2
luteolin,5280445.0,2322.0,FLT3
luteolin,5280445.0,6718.0,AKR1D1
luteolin,5280445.0,1545.0,
luteolin,5280445.0,6532.0,SLC6A4
luteolin,5280445.0,1459.0,CSNK2A2
luteolin,5280445.0,1109.0,AKR1C4
luteolin,5280445.0,50507.0,NOX4
luteolin,5280445.0,6531.0,SLC6A3
luteolin,5280445.0,231.0,AKR1B1
luteolin,5280445.0,5468.0,PPARG
luteolin,5280445.0,83592.0,AKR1E2
luteolin,5280445.0,84869.0,CBR4
luteolin,5280445.0,10327.0,AKR1A1
luteolin,5280445.0,2932.0,GSK3B
luteolin,5280445.0,3735.0,KARS
luteolin,5280445.0,4128.0,MAOA
luteolin,5280445.0,57016.0,AKR1B10
luteolin,5280445.0,142.0,PARP1
luteolin,5280445.0,2730.0,GCLM
luteolin,5280445.0,80351.0,TNKS2
luteolin,5280445.0,4318.0,MMP9
luteolin,5280445.0,240.0,ALOX5
luteolin,5280445.0,7923.0,HSD17B8
luteolin,5280445.0,7498.0,XDH
luteolin,5280445.0,1543.0,CYP1A1
luteolin,5280445.0,8644.0,AKR1C3
luteolin,5280445.0,1646.0,AKR1C2
luteolin,5280445.0,1645.0,AKR1C1
luteolin,5280445.0,441282.0,AKR1B15
luteolin,5280445.0,1457.0,CSNK2A1
luteolin,5280445.0,6530.0,SLC6A2
luteolin,5280445.0,7276.0,TTR
luteolin,5280445.0,9429.0,ABCG2
luteolin,5280445.0,2322.0,FLT3
luteolin,5280445.0,6718.0,AKR1D1
luteolin,5280445.0,1545.0,
luteolin,5280445.0,6532.0,SLC6A4
luteolin,5280445.0,1459.0,CSNK2A2
luteolin,5280445.0,1109.0,AKR1C4
luteolin,5280445.0,50507.0,NOX4
luteolin,5280445.0,6531.0,SLC6A3
luteolin,5280445.0,231.0,AKR1B1
luteolin,5280445.0,5468.0,PPARG
luteolin,5280445.0,83592.0,AKR1E2
luteolin,5280445.0,84869.0,CBR4
luteolin,5280445.0,10327.0,AKR1A1
luteolin,5280445.0,2932.0,GSK3B
luteolin,5280445.0,3735.0,KARS
luteolin,5280445.0,4128.0,MAOA
luteolin,5280445.0,57016.0,AKR1B10
luteolin,5280445.0,142.0,PARP1
luteolin,5280445.0,2730.0,GCLM
luteolin,5280445.0,80351.0,TNKS2
luteolin,5280445.0,4318.0,MMP9
luteolin,5280445.0,240.0,ALOX5
luteolin,5280445.0,7923.0,HSD17B8
luteolin,5280445.0,7498.0,XDH
luteolin,5280445.0,1543.0,CYP1A1
luteolin,5280445.0,8644.0,AKR1C3
luteolin,5280445.0,1646.0,AKR1C2
luteolin,5280445.0,1645.0,AKR1C1
luteolin,5280445.0,441282.0,AKR1B15
luteolin 6-c-glucoside,114776.0,231.0,AKR1B1
luteolin 6-c-glucoside,114776.0,231.0,AKR1B1
nobiletin,72344.0,9429.0,ABCG2
nobiletin,72344.0,9429.0,ABCG2
scutellarein,5281697.0,1545.0,
scutellarein,5281697.0,1543.0,CYP1A1
scutellarein,5281697.0,1545.0,
scutellarein,5281697.0,1543.0,CYP1A1
galangin,5281616.0,1545.0,
galangin,5281616.0,43.0,ACHE
galangin,5281616.0,135.0,ADORA2A
galangin,5281616.0,1544.0,CYP1A2
galangin,5281616.0,7498.0,XDH
galangin,5281616.0,1543.0,CYP1A1
galangin,5281616.0,1545.0,
galangin,5281616.0,43.0,ACHE
galangin,5281616.0,135.0,ADORA2A
galangin,5281616.0,1544.0,CYP1A2
galangin,5281616.0,7498.0,XDH
galangin,5281616.0,1543.0,CYP1A1
isorhamnetin,5281654.0,1545.0,
isorhamnetin,5281654.0,1544.0,CYP1A2
isorhamnetin,5281654.0,7498.0,XDH
isorhamnetin,5281654.0,1543.0,CYP1A1
isorhamnetin,5281654.0,1545.0,
isorhamnetin,5281654.0,1544.0,CYP1A2
isorhamnetin,5281654.0,7498.0,XDH
isorhamnetin,5281654.0,1543.0,CYP1A1
kaempferol,5280863.0,3294.0,HSD17B2
kaempferol,5280863.0,9429.0,ABCG2
kaempferol,5280863.0,196.0,AHR
kaempferol,5280863.0,239.0,ALOX12
kaempferol,5280863.0,79799.0,UGT2A3
kaempferol,5280863.0,1545.0,
kaempferol,5280863.0,50507.0,NOX4
kaempferol,5280863.0,590.0,BCHE
kaempferol,5280863.0,7365.0,UGT2B10
kaempferol,5280863.0,1021.0,CDK6
kaempferol,5280863.0,133688.0,UGT3A1
kaempferol,5280863.0,167127.0,UGT3A2
kaempferol,5280863.0,231.0,AKR1B1
kaempferol,5280863.0,246.0,ALOX15
kaempferol,5280863.0,83592.0,AKR1E2
kaempferol,5280863.0,54578.0,UGT1A6
kaempferol,5280863.0,7364.0,UGT2B7
kaempferol,5280863.0,54658.0,UGT1A1
kaempferol,5280863.0,7363.0,UGT2B4
kaempferol,5280863.0,7368.0,UGT8
kaempferol,5280863.0,10327.0,AKR1A1
kaempferol,5280863.0,7367.0,UGT2B17
kaempferol,5280863.0,54490.0,UGT2B28
kaempferol,5280863.0,7366.0,UGT2B15
kaempferol,5280863.0,1544.0,CYP1A2
kaempferol,5280863.0,54575.0,UGT1A10
kaempferol,5280863.0,54600.0,UGT1A9
kaempferol,5280863.0,57016.0,AKR1B10
kaempferol,5280863.0,54657.0,UGT1A4
kaempferol,5280863.0,54579.0,UGT1A5
kaempferol,5280863.0,54577.0,UGT1A7
kaempferol,5280863.0,54576.0,UGT1A8
kaempferol,5280863.0,240.0,ALOX5
kaempferol,5280863.0,7498.0,XDH
kaempferol,5280863.0,1543.0,CYP1A1
kaempferol,5280863.0,4363.0,ABCC1
kaempferol,5280863.0,10720.0,UGT2B11
kaempferol,5280863.0,10941.0,
kaempferol,5280863.0,54659.0,UGT1A3
kaempferol,5280863.0,3292.0,HSD17B1
kaempferol,5280863.0,3294.0,HSD17B2
kaempferol,5280863.0,9429.0,ABCG2
kaempferol,5280863.0,196.0,AHR
kaempferol,5280863.0,239.0,ALOX12
kaempferol,5280863.0,79799.0,UGT2A3
kaempferol,5280863.0,1545.0,
kaempferol,5280863.0,50507.0,NOX4
kaempferol,5280863.0,590.0,BCHE
kaempferol,5280863.0,7365.0,UGT2B10
kaempferol,5280863.0,1021.0,CDK6
kaempferol,5280863.0,133688.0,UGT3A1
kaempferol,5280863.0,167127.0,UGT3A2
kaempferol,5280863.0,231.0,AKR1B1
kaempferol,5280863.0,246.0,ALOX15
kaempferol,5280863.0,83592.0,AKR1E2
kaempferol,5280863.0,54578.0,UGT1A6
kaempferol,5280863.0,7364.0,UGT2B7
kaempferol,5280863.0,54658.0,UGT1A1
kaempferol,5280863.0,7363.0,UGT2B4
kaempferol,5280863.0,7368.0,UGT8
kaempferol,5280863.0,10327.0,AKR1A1
kaempferol,5280863.0,7367.0,UGT2B17
kaempferol,5280863.0,54490.0,UGT2B28
kaempferol,5280863.0,7366.0,UGT2B15
kaempferol,5280863.0,1544.0,CYP1A2
kaempferol,5280863.0,54575.0,UGT1A10
kaempferol,5280863.0,54600.0,UGT1A9
kaempferol,5280863.0,57016.0,AKR1B10
kaempferol,5280863.0,54657.0,UGT1A4
kaempferol,5280863.0,54579.0,UGT1A5
kaempferol,5280863.0,54577.0,UGT1A7
kaempferol,5280863.0,54576.0,UGT1A8
kaempferol,5280863.0,240.0,ALOX5
kaempferol,5280863.0,7498.0,XDH
kaempferol,5280863.0,1543.0,CYP1A1
kaempferol,5280863.0,4363.0,ABCC1
kaempferol,5280863.0,10720.0,UGT2B11
kaempferol,5280863.0,10941.0,
kaempferol,5280863.0,54659.0,UGT1A3
kaempferol,5280863.0,3292.0,HSD17B1
kaempferol 3-o-galactoside,5488283.0,43.0,ACHE
kaempferol 3-o-glucoside,5282102.0,231.0,AKR1B1
kaempferol 3-o-glucoside,5282102.0,43.0,ACHE
myricetin,5281672.0,2322.0,FLT3
myricetin,5281672.0,1588.0,
myricetin,5281672.0,1545.0,
myricetin,5281672.0,5289.0,PIK3C3
myricetin,5281672.0,5290.0,PIK3CA
myricetin,5281672.0,5286.0,PIK3C2A
myricetin,5281672.0,5288.0,PIK3C2G
myricetin,5281672.0,5291.0,PIK3CB
myricetin,5281672.0,80270.0,HSD3B7
myricetin,5281672.0,43.0,ACHE
myricetin,5281672.0,5591.0,PRKDC
myricetin,5281672.0,3735.0,KARS
myricetin,5281672.0,93517.0,SDR42E1
myricetin,5281672.0,4137.0,MAPT
myricetin,5281672.0,545.0,ATR
myricetin,5281672.0,8295.0,TRRAP
myricetin,5281672.0,5294.0,PIK3CG
myricetin,5281672.0,2475.0,MTOR
myricetin,5281672.0,5287.0,PIK3C2B
myricetin,5281672.0,3283.0,HSD3B1
myricetin,5281672.0,3284.0,HSD3B2
myricetin,5281672.0,50814.0,NSDHL
myricetin,5281672.0,2739.0,GLO1
myricetin,5281672.0,5292.0,PIM1
myricetin,5281672.0,5293.0,PIK3CD
myricetin,5281672.0,7498.0,XDH
myricetin,5281672.0,1543.0,CYP1A1
myricetin,5281672.0,4363.0,ABCC1
myricetin,5281672.0,80146.0,UXS1
myricetin,5281672.0,390245.0,KDM4E
myricetin,5281672.0,279.0,AMY2A
myricetin,5281672.0,7264.0,TSTA3
myricetin,5281672.0,23049.0,SMG1
myricetin,5281672.0,7153.0,TOP2A
myricetin,5281672.0,2859.0,GPR35
myricetin,5281672.0,107282092.0,BOLA2-SMG1P6
myricetin,5281672.0,5297.0,
myricetin,5281672.0,2322.0,FLT3
myricetin,5281672.0,1588.0,
myricetin,5281672.0,1545.0,
myricetin,5281672.0,5289.0,PIK3C3
myricetin,5281672.0,5290.0,PIK3CA
myricetin,5281672.0,5286.0,PIK3C2A
myricetin,5281672.0,5288.0,PIK3C2G
myricetin,5281672.0,5291.0,PIK3CB
myricetin,5281672.0,80270.0,HSD3B7
myricetin,5281672.0,43.0,ACHE
myricetin,5281672.0,5591.0,PRKDC
myricetin,5281672.0,3735.0,KARS
myricetin,5281672.0,93517.0,SDR42E1
myricetin,5281672.0,4137.0,MAPT
myricetin,5281672.0,545.0,ATR
myricetin,5281672.0,8295.0,TRRAP
myricetin,5281672.0,5294.0,PIK3CG
myricetin,5281672.0,2475.0,MTOR
myricetin,5281672.0,5287.0,PIK3C2B
myricetin,5281672.0,3283.0,HSD3B1
myricetin,5281672.0,3284.0,HSD3B2
myricetin,5281672.0,50814.0,NSDHL
myricetin,5281672.0,2739.0,GLO1
myricetin,5281672.0,5292.0,PIM1
myricetin,5281672.0,5293.0,PIK3CD
myricetin,5281672.0,7498.0,XDH
myricetin,5281672.0,1543.0,CYP1A1
myricetin,5281672.0,4363.0,ABCC1
myricetin,5281672.0,80146.0,UXS1
myricetin,5281672.0,390245.0,KDM4E
myricetin,5281672.0,279.0,AMY2A
myricetin,5281672.0,7264.0,TSTA3
myricetin,5281672.0,23049.0,SMG1
myricetin,5281672.0,7153.0,TOP2A
myricetin,5281672.0,2859.0,GPR35
myricetin,5281672.0,107282092.0,BOLA2-SMG1P6
myricetin,5281672.0,5297.0,
quercetin,5280343.0,55359.0,STYK1
quercetin,5280343.0,28951.0,TRIB2
quercetin,5280343.0,5837.0,PYGM
quercetin,5280343.0,2046.0,EPHA8
quercetin,5280343.0,1815.0,DRD4
quercetin,5280343.0,3294.0,HSD17B2
quercetin,5280343.0,11035.0,RIPK3
quercetin,5280343.0,5836.0,PYGL
quercetin,5280343.0,5834.0,PYGB
quercetin,5280343.0,5753.0,PTK6
quercetin,5280343.0,6725.0,SRMS
quercetin,5280343.0,57761.0,TRIB3
quercetin,5280343.0,4313.0,MMP2
quercetin,5280343.0,1445.0,CSK
quercetin,5280343.0,8767.0,RIPK2
quercetin,5280343.0,2931.0,GSK3A
quercetin,5280343.0,4353.0,MPO
quercetin,5280343.0,5754.0,PTK7
quercetin,5280343.0,23178.0,PASK
quercetin,5280343.0,9429.0,ABCG2
quercetin,5280343.0,2322.0,FLT3
quercetin,5280343.0,6718.0,AKR1D1
quercetin,5280343.0,239.0,ALOX12
quercetin,5280343.0,79799.0,UGT2A3
quercetin,5280343.0,5157.0,PDGFRL
quercetin,5280343.0,4294.0,MAP3K10
quercetin,5280343.0,3656.0,IRAK2
quercetin,5280343.0,10595.0,ERN2
quercetin,5280343.0,5156.0,PDGFRA
quercetin,5280343.0,4907.0,NT5E
quercetin,5280343.0,640.0,BLK
quercetin,5280343.0,8737.0,RIPK1
quercetin,5280343.0,1588.0,
quercetin,5280343.0,1545.0,
quercetin,5280343.0,11213.0,IRAK3
quercetin,5280343.0,9891.0,NUAK1
quercetin,5280343.0,5159.0,PDGFRB
quercetin,5280343.0,2324.0,FLT4
quercetin,5280343.0,506.0,ATP5F1B
quercetin,5280343.0,5289.0,PIK3C3
quercetin,5280343.0,1109.0,AKR1C4
quercetin,5280343.0,50507.0,NOX4
quercetin,5280343.0,7301.0,TYRO3
quercetin,5280343.0,3791.0,KDR
quercetin,5280343.0,9262.0,STK17B
quercetin,5280343.0,5290.0,PIK3CA
quercetin,5280343.0,7294.0,TXK
quercetin,5280343.0,53834.0,FGFRL1
quercetin,5280343.0,7297.0,TYK2
quercetin,5280343.0,7535.0,ZAP70
quercetin,5280343.0,7365.0,UGT2B10
quercetin,5280343.0,1021.0,CDK6
quercetin,5280343.0,5286.0,PIK3C2A
quercetin,5280343.0,5288.0,PIK3C2G
quercetin,5280343.0,3480.0,IGF1R
quercetin,5280343.0,30811.0,HUNK
quercetin,5280343.0,207.0,AKT1
quercetin,5280343.0,801.0,CALM2
quercetin,5280343.0,2044.0,EPHA5
quercetin,5280343.0,133688.0,UGT3A1
quercetin,5280343.0,1956.0,EGFR
quercetin,5280343.0,2041.0,EPHA1
quercetin,5280343.0,2043.0,EPHA4
quercetin,5280343.0,498.0,ATP5F1A
quercetin,5280343.0,2321.0,FLT1
quercetin,5280343.0,167127.0,UGT3A2
quercetin,5280343.0,760.0,CA2
quercetin,5280343.0,231.0,AKR1B1
quercetin,5280343.0,1436.0,CSF1R
quercetin,5280343.0,3815.0,KIT
quercetin,5280343.0,5291.0,PIK3CB
quercetin,5280343.0,2264.0,FGFR4
quercetin,5280343.0,246.0,ALOX15
quercetin,5280343.0,91461.0,PKDCC
quercetin,5280343.0,10461.0,MERTK
quercetin,5280343.0,80270.0,HSD3B7
quercetin,5280343.0,221656.0,KDM1B
quercetin,5280343.0,9833.0,MELK
quercetin,5280343.0,83592.0,AKR1E2
quercetin,5280343.0,4314.0,MMP3
quercetin,5280343.0,5347.0,PLK1
quercetin,5280343.0,558.0,AXL
quercetin,5280343.0,55872.0,PBK
quercetin,5280343.0,54578.0,UGT1A6
quercetin,5280343.0,43.0,ACHE
quercetin,5280343.0,3643.0,INSR
quercetin,5280343.0,7364.0,UGT2B7
quercetin,5280343.0,54658.0,UGT1A1
quercetin,5280343.0,7363.0,UGT2B4
quercetin,5280343.0,695.0,BTK
quercetin,5280343.0,197259.0,MLKL
quercetin,5280343.0,2147.0,F2
quercetin,5280343.0,660.0,BMX
quercetin,5280343.0,4296.0,MAP3K11
quercetin,5280343.0,4342.0,MOS
quercetin,5280343.0,7368.0,UGT8
quercetin,5280343.0,10221.0,TRIB1
quercetin,5280343.0,5319.0,PLA2G1B
quercetin,5280343.0,10327.0,AKR1A1
quercetin,5280343.0,5591.0,PRKDC
quercetin,5280343.0,167359.0,NIM1K
quercetin,5280343.0,59344.0,ALOXE3
quercetin,5280343.0,242.0,ALOX12B
quercetin,5280343.0,4233.0,MET
quercetin,5280343.0,7367.0,UGT2B17
quercetin,5280343.0,7525.0,YES1
quercetin,5280343.0,2932.0,GSK3B
quercetin,5280343.0,6794.0,STK11
quercetin,5280343.0,2049.0,EPHB3
quercetin,5280343.0,93517.0,SDR42E1
quercetin,5280343.0,54101.0,RIPK4
quercetin,5280343.0,54490.0,UGT2B28
quercetin,5280343.0,135.0,ADORA2A
quercetin,5280343.0,3984.0,LIMK1
quercetin,5280343.0,2042.0,EPHA3
quercetin,5280343.0,3932.0,LCK
quercetin,5280343.0,7016.0,TESK1
quercetin,5280343.0,283629.0,TSSK4
quercetin,5280343.0,2261.0,FGFR3
quercetin,5280343.0,3985.0,LIMK2
quercetin,5280343.0,4128.0,MAOA
quercetin,5280343.0,7366.0,UGT2B15
quercetin,5280343.0,5747.0,PTK2
quercetin,5280343.0,1544.0,CYP1A2
quercetin,5280343.0,3716.0,JAK1
quercetin,5280343.0,5585.0,PKN1
quercetin,5280343.0,545.0,ATR
quercetin,5280343.0,54575.0,UGT1A10
quercetin,5280343.0,2534.0,FYN
quercetin,5280343.0,54600.0,UGT1A9
quercetin,5280343.0,8295.0,TRRAP
quercetin,5280343.0,5979.0,RET
quercetin,5280343.0,509.0,ATP5F1C
quercetin,5280343.0,2050.0,EPHB4
quercetin,5280343.0,6714.0,SRC
quercetin,5280343.0,1969.0,EPHA2
quercetin,5280343.0,5294.0,PIK3CG
quercetin,5280343.0,57016.0,AKR1B10
quercetin,5280343.0,26275.0,HIBCH
quercetin,5280343.0,415116.0,PIM3
quercetin,5280343.0,83983.0,
quercetin,5280343.0,2475.0,MTOR
quercetin,5280343.0,9578.0,CDC42BPB
quercetin,5280343.0,84451.0,MAP3K21
quercetin,5280343.0,4751.0,NEK2
quercetin,5280343.0,25778.0,DSTYK
quercetin,5280343.0,5287.0,PIK3C2B
quercetin,5280343.0,6041.0,RNASEL
quercetin,5280343.0,3645.0,INSRR
quercetin,5280343.0,2444.0,
quercetin,5280343.0,2045.0,EPHA7
quercetin,5280343.0,6885.0,MAP3K7
quercetin,5280343.0,3283.0,HSD3B1
quercetin,5280343.0,3284.0,HSD3B2
quercetin,5280343.0,3654.0,IRAK1
quercetin,5280343.0,2730.0,GCLM
quercetin,5280343.0,50814.0,NSDHL
quercetin,5280343.0,4919.0,ROR1
quercetin,5280343.0,10420.0,TESK2
quercetin,5280343.0,4318.0,MMP9
quercetin,5280343.0,25.0,ABL1
quercetin,5280343.0,7075.0,TIE1
quercetin,5280343.0,5328.0,PLAU
quercetin,5280343.0,284656.0,EPHA10
quercetin,5280343.0,83931.0,STK40
quercetin,5280343.0,2739.0,GLO1
quercetin,5280343.0,54657.0,UGT1A4
quercetin,5280343.0,54579.0,UGT1A5
quercetin,5280343.0,54577.0,UGT1A7
quercetin,5280343.0,54576.0,UGT1A8
quercetin,5280343.0,5292.0,PIM1
quercetin,5280343.0,81629.0,TSSK3
quercetin,5280343.0,2268.0,FGR
quercetin,5280343.0,240.0,ALOX5
quercetin,5280343.0,4593.0,MUSK
quercetin,5280343.0,2048.0,EPHB2
quercetin,5280343.0,316.0,AOX1
quercetin,5280343.0,51776.0,MAP3K20
quercetin,5280343.0,6850.0,SYK
quercetin,5280343.0,3055.0,HCK
quercetin,5280343.0,11040.0,PIM2
quercetin,5280343.0,5293.0,PIK3CD
quercetin,5280343.0,4129.0,MAOB
quercetin,5280343.0,7498.0,XDH
quercetin,5280343.0,1543.0,CYP1A1
quercetin,5280343.0,7010.0,TEK
quercetin,5280343.0,247.0,ALOX15B
quercetin,5280343.0,8644.0,AKR1C3
quercetin,5280343.0,1646.0,AKR1C2
quercetin,5280343.0,1645.0,AKR1C1
quercetin,5280343.0,7006.0,TEC
quercetin,5280343.0,3717.0,JAK2
quercetin,5280343.0,285220.0,EPHA6
quercetin,5280343.0,83942.0,TSSK1B
quercetin,5280343.0,2051.0,
quercetin,5280343.0,4145.0,MATK
quercetin,5280343.0,983.0,CDK1
quercetin,5280343.0,816.0,CAMK2B
quercetin,5280343.0,2047.0,EPHB1
quercetin,5280343.0,4363.0,ABCC1
quercetin,5280343.0,23617.0,TSSK2
quercetin,5280343.0,23028.0,KDM1A
quercetin,5280343.0,80146.0,UXS1
quercetin,5280343.0,10720.0,UGT2B11
quercetin,5280343.0,10941.0,
quercetin,5280343.0,441282.0,AKR1B15
quercetin,5280343.0,51135.0,IRAK4
quercetin,5280343.0,3718.0,JAK3
quercetin,5280343.0,2260.0,FGFR1
quercetin,5280343.0,3702.0,ITK
quercetin,5280343.0,7264.0,TSTA3
quercetin,5280343.0,2081.0,ERN1
quercetin,5280343.0,23049.0,SMG1
quercetin,5280343.0,2263.0,FGFR2
quercetin,5280343.0,2859.0,GPR35
quercetin,5280343.0,54659.0,UGT1A3
quercetin,5280343.0,27.0,ABL2
quercetin,5280343.0,4067.0,LYN
quercetin,5280343.0,4293.0,MAP3K9
quercetin,5280343.0,107282092.0,BOLA2-SMG1P6
quercetin,5280343.0,5297.0,
quercetin,5280343.0,9212.0,AURKB
quercetin,5280343.0,55359.0,STYK1
quercetin,5280343.0,28951.0,TRIB2
quercetin,5280343.0,5837.0,PYGM
quercetin,5280343.0,2046.0,EPHA8
quercetin,5280343.0,1815.0,DRD4
quercetin,5280343.0,3294.0,HSD17B2
quercetin,5280343.0,11035.0,RIPK3
quercetin,5280343.0,5836.0,PYGL
quercetin,5280343.0,5834.0,PYGB
quercetin,5280343.0,5753.0,PTK6
quercetin,5280343.0,6725.0,SRMS
quercetin,5280343.0,57761.0,TRIB3
quercetin,5280343.0,4313.0,MMP2
quercetin,5280343.0,1445.0,CSK
quercetin,5280343.0,8767.0,RIPK2
quercetin,5280343.0,2931.0,GSK3A
quercetin,5280343.0,4353.0,MPO
quercetin,5280343.0,5754.0,PTK7
quercetin,5280343.0,23178.0,PASK
quercetin,5280343.0,9429.0,ABCG2
quercetin,5280343.0,2322.0,FLT3
quercetin,5280343.0,6718.0,AKR1D1
quercetin,5280343.0,239.0,ALOX12
quercetin,5280343.0,79799.0,UGT2A3
quercetin,5280343.0,5157.0,PDGFRL
quercetin,5280343.0,4294.0,MAP3K10
quercetin,5280343.0,3656.0,IRAK2
quercetin,5280343.0,10595.0,ERN2
quercetin,5280343.0,5156.0,PDGFRA
quercetin,5280343.0,4907.0,NT5E
quercetin,5280343.0,640.0,BLK
quercetin,5280343.0,8737.0,RIPK1
quercetin,5280343.0,1588.0,
quercetin,5280343.0,1545.0,
quercetin,5280343.0,11213.0,IRAK3
quercetin,5280343.0,9891.0,NUAK1
quercetin,5280343.0,5159.0,PDGFRB
quercetin,5280343.0,2324.0,FLT4
quercetin,5280343.0,506.0,ATP5F1B
quercetin,5280343.0,5289.0,PIK3C3
